file,Group,NewID
X20210204_MK_MGH_Insol_AD_2428_1to1Dil_Slot1_23_1_3648.Intensity,AD,AD_01
X20210204_MK_MGH_Insol_AD_2302_1to1Dil_Slot1_22_1_3647.Intensity,AD,AD_02
X20210204_MK_MGH_Insol_AD_2056_1to1Dil_Slot1_10_1_3660.Intensity,AD,AD_03
X20210204_MK_MGH_Insol_AD_2040_1to1Dil_Slot1_10_1_3715.Intensity,AD,AD_04
X20210204_MK_MGH_Insol_AD_2027_1to1Dil_Slot1_11_1_3661.Intensity,AD,AD_05
X20210204_MK_MGH_Insol_AD_2014_1to1Dil_Slot1_10_1_3728.Intensity,AD,AD_06
X20210204_MK_MGH_Insol_AD_1971_1to1Dil_Slot1_11_1_3729.Intensity,AD,AD_07
X20210204_MK_MGH_Insol_AD_1889_1to1Dil_Slot1_11_1_3600.Intensity,AD,AD_08
X20210204_MK_MGH_Insol_AD_1862_1to1Dil_Slot1_11_1_3633.Intensity,AD,AD_09
X20210204_MK_MGH_Insol_AD_1848_1to1Dil_Slot1_22_1_3612.Intensity,AD,AD_10
X20210204_MK_MGH_Insol_AD_1794_1to1Dil_Slot1_23_1_3613.Intensity,AD,AD_11
X20210204_MK_MGH_Insol_AD_1791_1to1Dil_Slot1_10_1_3632.Intensity,AD,AD_12
X20210204_MK_MGH_Insol_AD_1648_1to1Dil_Slot1_11_1_3716.Intensity,AD,AD_13
X20210204_MK_MGH_Insol_AD_1636_1to1Dil_Slot1_10_1_3599.Intensity,AD,AD_14
X20210211_MK_AD_259_HSB3367_Insol_1to1Dil_Slot1_33_1_3700.Intensity,AD,AD_15
X20210506_MK_UCLA_AD_259_HSB3367_Insol_1to1Dil_Slot1_37_1_4511.Intensity,AD,AD_15
X20210211_MK_AD_209_HSB4879_Insol_1to1Dil_Slot1_32_1_3699.Intensity,AD,AD_16
X20210506_MK_UCLA_AD_209_HSB4879_Insol_1to1Dil_Slot1_38_1_4512.Intensity,AD,AD_16
X20210211_MK_AD_203_HSB3268_Insol_1to1Dil_Slot1_31_1_3698.Intensity,AD,AD_17
X20210506_MK_UCLA_AD_203_HSB3268_Insol_1to1Dil_Slot1_39_1_4513.Intensity,AD,AD_17
X20210211_MK_AD_201_HSB3240_Insol_1to1Dil_Slot1_30_1_3697.Intensity,AD,AD_18
X20210506_MK_UCLA_AD_201_HSB3240_Insol_1to1Dil_Slot1_41_1_4515.Intensity,AD,AD_18
X20210506_MK_UCLA_AD_201_HSB3240_Insol_Slot1_53_1_4552.Intensity,AD,AD_18
